14 55 -74 76 1 -61 -55 24 -76 -23 8  ; -12
37 -94 -96 -73 -4 -67 41 97 81 61 43  ; -1
54 -87 67 32 76 -28 60 76 63 -36 -89  ; 13
25 49 -60 69 3 45 26 -50 -90 32 -76  ; -5
81 -37 59 -93 -94 -43 -42 -54 37 52 -7  ; -22
6 64 -69 -9 89 34 68 -48 96 -10 40  ; 25
71 21 -89 55 11 99 37 65 -82 -90 62  ; 8
17 -38 12 -2 -51 47 -20 -40 -48 99 -46  ; -8
20 45 42 -23 85 85 -14 33 -89 -85 0  ; 7
28 -53 14 14 34 98 11 -21 93 -58 -94  ; 3
71 14 52 6 -87 39 -30 72 73 -2 12  ; 14
2 17 44 -1 59 32 -18 98 37 22 45  ; 33
21 48 -50 -24 -3 -2 -24 80 -35 -91 -40  ; -14
2 0 74 31 41 -38 -5 8 -13 -22 -96  ; -2
40 -29 -61 22 70 -95 16 -98 95 -3 -18  ; -10
86 65 -3 -55 0 -49 91 -55 14 74 52  ; 13
78 16 -75 -62 39 -20 49 -59 71 60 22  ; 4
32 -43 -73 -64 -56 27 95 28 2 -91 92  ; -8
15 99 -19 -14 80 -67 94 -65 68 -51 20  ; 14
79 63 88 65 70 14 -6 -95 -71 81 -10  ; 19
3 -74 73 50 34 -67 -26 -8 31 79 -4  ; 8
41 62 88 24 -23 -38 39 32 9 95 65  ; 35
52 2 -8 -6 52 -8 44 -51 -71 99 8  ; 6
82 -45 -74 -78 85 96 -87 28 -90 85 28  ; -5
71 -6 76 -41 -78 82 -75 19 81 87 -73  ; 7
56 0 -80 -95 93 67 -24 -4 52 76 -67  ; 1
22 38 -9 76 79 -10 8 -16 -98 -63 -17  ; -1
36 27 -71 -29 37 9 -86 11 -26 75 -32  ; -8
23 -5 48 7 16 -98 21 71 34 -51 21  ; 6
99 -76 40 -84 -80 12 -15 -95 67 -37 -97  ; -36
15 8 75 1 29 72 -68 73 88 -12 -35  ; 23
25 28 -18 10 32 20 -87 3 -87 66 23  ; -1
63 75 40 26 -62 -13 10 -17 33 -77 -1  ; 1
7 -35 -69 61 -68 27 -5 55 -13 10 12  ; -2
76 80 -83 -40 22 -81 -66 35 57 -36 46  ; -6
30 67 -35 -90 -5 18 23 -93 -29 -12 -49  ; -20
39 6 -83 83 -99 73 -80 39 97 -21 87  ; 10
16 -55 -83 -91 54 6 45 9 81 -29 -11  ; -7
81 -88 76 53 -92 -31 -97 -1 91 1 -45  ; -13
87 -28 -26 -87 -12 -84 67 -77 18 30 70  ; -12
58 -95 -85 -26 -69 -1 64 -43 -55 -79 82  ; -30
61 -25 -94 28 -1 -55 28 -52 29 84 55  ; 0
90 -80 28 -11 -22 -4 13 -10 -83 -80 -47  ; -29
95 -9 31 -33 98 26 36 86 95 59 88  ; 47
2 54 16 -3 -79 -88 -42 -57 50 -62 -62  ; -27
60 48 -91 -49 -38 -49 -33 7 -42 -56 -89  ; -39
29 -75 10 83 -62 -27 -61 86 -29 -97 75  ; -9
92 14 -89 92 -73 -43 -37 -41 -69 -76 81  ; -24
42 -36 -23 -37 95 65 -31 -8 -53 6 -1  ; -2
53 -67 -39 -71 27 43 63 76 -43 -8 -58  ; -7
92 -34 93 -45 -19 -11 -65 72 -69 -12 -37  ; -12
19 -6 -17 58 -1 -25 22 82 6 44 82  ; 24
98 -69 -93 -35 48 -70 80 28 -66 7 76  ; -9
73 98 -65 43 88 -45 -2 -84 -25 67 80  ; 15
13 -99 -1 -48 -81 -40 88 -66 66 -46 -20  ; -24
96 51 -31 -41 -6 11 84 97 -70 -58 -63  ; -2
48 71 -76 -26 3 91 63 22 -73 -82 -94  ; -10
62 -1 35 -4 87 81 31 32 -94 11 89  ; 26
80 34 89 27 -30 56 98 30 -85 -70 -66  ; 8
39 65 86 55 -30 52 -22 98 91 -12 30  ; 41
97 84 -93 -49 2 -83 37 70 -31 -43 -76  ; -18
33 29 8 78 -73 -52 81 -97 0 -13 -57  ; -9
56 -30 59 63 65 21 -49 -38 -94 92 -46  ; 4
25 97 52 63 47 -18 -43 86 6 11 53  ; 35
56 -29 -52 28 -6 -53 -14 3 -91 46 -54  ; -22
26 57 -48 25 33 29 57 96 17 34 -24  ; 27
18 -75 34 -75 -73 67 19 -59 76 51 59  ; 2
27 0 47 50 -91 -92 -62 -37 35 39 -46  ; -15
64 61 -87 -77 -83 59 63 48 18 -11 -85  ; -9
92 12 -48 87 -9 -42 73 -49 -60 39 45  ; 4
19 91 58 -38 98 30 -38 -34 26 81 90  ; 36
79 96 24 -6 -87 77 -34 87 -90 -7 63  ; 12
44 81 -83 73 -29 63 -10 7 77 18 47  ; 24
9 -29 -67 -29 -11 -10 -36 38 -57 -6 -87  ; -29
56 -96 -69 71 -15 97 -16 64 2 -98 3  ; -5
13 91 -12 80 -30 -21 37 61 66 44 68  ; 38
63 51 33 -64 65 38 89 -81 -41 -58 5  ; 3
18 -25 17 -81 -33 43 17 47 -11 -88 -12  ; -12
84 -32 -77 4 -16 -57 99 31 77 23 49  ; 10
49 -18 -72 98 -46 28 -2 -54 -38 18 -24  ; -11
21 -94 -9 39 98 -78 -13 31 68 56 92  ; 19
39 -42 -77 -63 -60 12 16 -44 59 19 -51  ; -23
18 5 8 1 13 -56 3 40 -43 77 -36  ; 1
55 22 35 -78 -57 -31 -68 -98 -33 -7 -72  ; -38
3 80 -81 -68 50 95 17 -4 89 -95 -88  ; 0
54 -98 3 -73 89 -24 -47 -55 88 2 96  ; -1
7 -81 -85 52 -67 81 -3 -56 -87 -99 38  ; -30
87 -26 -68 36 -63 85 14 -75 94 86 94  ; 17
7 58 23 -10 4 -14 -96 -52 1 52 76  ; 4
71 -96 -95 91 50 -14 26 50 -51 -3 -73  ; -11
9 -82 68 26 59 -16 47 -50 46 -93 48  ; 5
98 -23 47 61 41 16 -34 80 25 -2 -23  ; 18
75 2 -30 42 -50 61 -14 -22 -9 22 90  ; 9
88 45 20 8 -97 69 97 49 -91 -6 -8  ; 8
86 97 23 -86 -83 5 22 -86 -11 64 62  ; 0
65 -77 75 25 49 95 70 -3 -53 78 -35  ; 22
80 1 60 2 -31 -90 -29 40 85 -55 67  ; 5
93 -38 -31 -68 -19 -52 27 -94 -17 -89 -62  ; -44
87 82 44 21 4 83 -42 -53 0 15 52  ; 20
4 -37 -67 -12 -63 -97 26 23 -23 29 96  ; -12
