21 17 78 -6 45 -83 59 6 63 14 -75 -71 -23 -64 49 -79 38 -22 -82 68 -93 -78  ; -11
83 94 -9 -60 -27 -18 -75 -34 61 -19 7 -65 62 -88 -63 49 -36 97 26 -23 -63 74 -46 -87 -20 39 -53 54 -38 -55 42 43 -62 -64 34 -38 9 35 -91 -31 -29 48 -77 21 -11 70 81 -88 -79 8 -83 65 -2 -58 -17 37 -47 36 25 19 -61 -89 8 3 85 -16 -26 18 13 -7 -27 3 -50 -32 37 81 -30 -95 21 -7 74 95 -37 69  ; -5
68 -79 -45 -90 50 90 64 -81 -2 -21 40 -86 55 28 -68 84 12 94 -24 65 2 -76 -36 27 23 -84 7 -97 86 -76 85 -65 35 97 -43 -25 -10 -25 9 88 78 -42 15 -44 -95 39 59 -84 -52 87 84 -48 -4 61 38 77 -23 46 -14 5 -87 64 -37 75 34 4 18 -52 -16  ; 2
32 83 96 88 -31 79 -50 74 -51 97 57 70 29 1 -1 11 55 10 2 -58 -78 83 38 -75 97 93 9 48 -82 72 -68 -31 -25  ; 20
2 -41 -31  ; -36
8 1 83 92 -23 67 6 94 0  ; 40
20 -52 -55 -52 -58 -21 1 -15 -59 -50 0 -94 -5 23 -82 52 -53 82 -19 -69 76  ; -22
33 20 -81 26 -90 30 91 -48 71 5 -78 -98 -53 38 20 24 5 -8 -87 -95 45 12 -69 54 -1 -90 47 -97 99 -92 -57 -53 -38 -10  ; -16
49 -39 -21 -76 41 -21 -62 -87 -54 8 66 -22 73 70 36 31 -71 72 68 -94 68 8 72 72 -45 -19 90 87 18 -72 -2 -86 25 15 93 53 -34 61 -81 -1 -40 -14 50 -88 -75 -23 -73 65 61 61  ; 3
28 -86 22 -35 -75 38 5 6 56 -83 -60 89 -15 2 83 20 -59 47 -56 2 16 -91 93 -3 -76 -40 -73 52 -39  ; -9
43 49 19 93 -35 -87 87 46 74 87 25 98 47 -10 -81 67 -6 98 -77 69 3 98 -24 -67 71 -97 69 87 -7 -61 -46 69 97 -38 5 -9 -71 86 -95 -39 28 9 78 -64  ; 15
37 67 -28 -86 -79 96 -76 -94 -7 29 7 42 -49 5 -3 33 -44 88 -27 -6 -6 -42 -43 -87 14 53 -7 -55 42 -82 94 7 -55 61 -99 89 -67 77  ; -6
92 -78 -53 -14 9 -64 40 90 -4 10 97 32 62 78 -60 -59 -45 -60 -96 15 -46 -4 19 9 36 86 -4 -94 -2 53 41 99 94 -46 94 -26 45 93 -66 -41 -23 48 -84 57 -4 38 0 37 -63 -26 37 76 4 -19 82 24 25 -19 43 -4 87 -97 -25 45 87 93 -19 -91 -67 12 -26 70 61 92 66 -5 86 55 -17 24 -48 95 -94 -83 -21 24 -25 -34 39 -59 79 -90 -10  ; 7
50 18 -53 79 6 -12 -38 -51 -40 7 86 -94 74 -89 52 -56 46 38 11 75 -52 37 -8 -11 46 24 -63 66 -1 -4 -98 78 -18 -67 29 -14 -21 45 -19 -78 -76 -62 60 51 84 44 32 56 2 11 -16  ; 2
78 2 -12 -16 -8 73 -99 -82 92 24 17 5 -38 -95 -76 -60 13 14 -5 58 2 -96 38 4 -78 7 0 -65 5 23 -26 57 -42 -51 0 -99 19 -34 -78 -66 -93 0 28 -91 94 -96 91 -39 27 41 -47 -94 -55 -37 90 20 -29 -94 -20 67 -34 -4 -95 97 98 27 -21 -65 7 -87 -95 -78 -22 -63 -53 41 42 -41 74  ; -15
